,LATITUDE,LONGITUDE,MEAN_TEMPERATURE,MIN_TEMPERATURE,MAX_TEMPERATURE,TOTAL_PRECIPITATION,DAYS_WITH_VALID_PRECIP,DAYS_WITH_PRECIP_GE_1MM,TOTAL_SNOWFALL,DAYS_WITH_VALID_SNOWFALL,DAYS_WITH_VALID_SUNSHINE,Ensemencee,Recoltee,Rendement,Production_boisseaux,Production_tonnes,Annee,Region
0,46.71866666666667,-81.89299999999999,5.04989605734767,-40.0,29.866666666666664,968.2666666666665,366.0,133.0,268.3,366.0,0.0,100.0,0.0,0.0,0.0,0.0,2004,Sudbury
0,45.3395,-80.035,7.264032258064516,-34.75,29.5,899.45,358.5,137.5,169.65,183.0,0.0,0.0,0.0,0.0,0.0,0.0,2004,Parry Sound
0,45.032,-78.531,6.439301075268817,-40.5,29.5,1069.8,366.0,147.0,277.8,366.0,0.0,0.0,0.0,0.0,0.0,0.0,2004,Haliburton
0,50.7876,-91.373,2.474981993514252,-40.9,28.940000000000005,803.88,354.8,119.6,138.84,158.6,0.0,0.0,0.0,0.0,0.0,0.0,2004,Kenora
0,45.786500000000004,-82.27449999999999,7.720752688172043,-31.9,33.8,772.7,357.0,110.0,131.0,182.5,0.0,0.0,0.0,0.0,0.0,0.0,2005,Manitoulin
0,48.943250000000006,-89.27525,3.8285513247206797,-34.8125,31.6625,819.0,355.375,106.625,119.1375,184.25,0.0,0.0,0.0,0.0,0.0,0.0,2008,Thunder Bay
0,45.15633333333333,-79.32533333333333,6.21986033864788,-31.866666666666664,31.46666666666667,1273.0333333333333,357.6666666666667,157.33333333333334,142.0,119.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2008,Muskoka
0,45.032,-78.531,5.74741935483871,-35.5,30.5,1340.7,364.0,166.0,408.3,364.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,Haliburton
0,44.5255,-77.0125,8.186490015360983,-28.0,31.75,1149.8,360.0,146.5,324.65,360.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,Lennox And Addington
0,49.153,-89.1413,2.646070684895647,-36.07000000000001,30.759999999999998,584.1899999999999,327.0,98.7,131.06,148.6,0.0,0.0,0.0,0.0,0.0,0.0,2009,Thunder Bay
0,43.576499999999996,-79.78450000000001,7.991818157741406,-23.5,32.0,783.4000000000001,272.0,79.0,57.85,272.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,Halton
0,45.247,-79.3365,5.4910177975528365,-36.6,31.1,1199.65,359.0,149.5,158.55,181.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,Muskoka
0,45.032,-78.531,4.931935483870968,-39.0,31.5,1265.7,365.0,154.0,282.5,365.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,Haliburton
